English,Bangla
The Wife,স্ত্রী
Empty,খালি
By Eating,খাওয়ার মাধ্যমে
Of The Year,বছরের
Fight,যুদ্ধ
Subject,বিষয়
Strange,অদ্ভুত
Power,শক্তি
I Didn'T,আমি করিনি
Drink,পান করা
Important,গুরুত্বপূর্ণ
The Part,অংশ
Different,ভিন্ন
Get Up,উঠে পড়
To Kill,খুন করতে
Although,যদিও
Evidence,প্রমান
Profit,লাভ
Beside,পাশে
On The Way,পথে
Will Drop,ড্রপ করবে
Mother'S,মায়ের
The Courage,সাহসিকতা
You Too,তুমিও
Strong,শক্তিশালী
Information,তথ্য
You Came,আপনি এসেছিলেন
Got It,বুঝেছি
Take A Look,এক নজর দেখে নাও
If You Give,যদি আপনি দেন
In That,তার মধ্যে
Themselves,নিজেদের
Hearing,শ্রবণ
To Bring,আনতে
The Secret,গোপন
Blame,দোষ
Change,পরিবর্তন
Against,বিরুদ্ধে
The Night,রাত্রি
Pick Up,পিক আপ
At Least,অন্তত
Won'T,হবে না
If You Want,তুমি যদি চাও
Children,শিশুরা
Of Family,পরিবারের
Can'T,পারে না
As Much,যতটুকু
Impossible,অসম্ভব
The Best,সেরা
Instead Of,পরিবর্তে
Beloved,প্রিয়
This Is It,এই হল
Used To,ব্যবহৃত
System,পদ্ধতি
Months,মাস
Woman,নারী
In Life,জীবনে
Would Have Been,হয়েছে
Girl'S,মেয়ের
Like That,সে রকমই
Of Money,আমার স্নাতকের
In Progress,চলমান
Somewhat,কিছুটা
Hiding,লুকানো
Wonderful,বিস্ময়কর
Death,মৃত্যু
Caught,ধরা পড়ে
Of The Day,দিনের
The Black,কালো
Stupid,বোকা
Thinking,ভাবছেন
The Professor,অধ্যাপক
Refund,ফেরত
Permission,অনুমতি
Scream,চিৎকার
In The Morning,সকালে
Dollar,ডলার
Was Doing,করছেন
Straight,সোজা
Take Care,যত্ন নিবেন
The Gun,বন্দুকটি
The Right,অধিকার
A Few,কয়েক
Take It,এটি গ্রহণ করা
Writing,লেখা
The World,বিশ্ব
Be Careful,সতর্ক হোন
Will Keep,রাখবো
Doubt,সন্দেহ
In Time,সময়ের মধ্যে
General,সাধারণ
The Ship,জাহাজটি
Event,ঘটনা
Funny,হাস্যকর
You Said,তুমি বলেছিলে
This Is,এই
The Work,কাজ
Appearance,চেহারা
If You Get,যদি তুমি পাও
Through,মাধ্যম
George,জর্জ
The Girl,মেয়ে
Sugar,চিনি
Catch Up,ধরে ফেলুন
If You See,যদি আপনি দেখেন
At School,স্কুলে
In The Eyes,চোখে
Could Not,পারেনি
To Father,বাবার কাছে
The Plan,পরিকল্পনা
The Next,পরবর্তী
To Whom,কাকে
I Love,আমি ভালোবাসি
Sister,বোন
Friends,বন্ধুরা
Have Been,হয়েছে
Dropped,বাদ পড়েছে
Broken,ভাঙ্গা
Ahead,সামনে
Respect,সম্মান
From Where,কোথা থেকে
The City,শহর
Chief,প্রধান
Don'T,করবেন না
Of The Eye,চোখের
In Condition,শর্তর মধ্যে
Hatred,ঘৃণা
Run Away,পলায়ন
The Bus,বাস
Within,মধ্যে
Of The City,শহরের
Share,শেয়ার করুন
Absolutely,একেবারে
Stuck,আটকে পড়া
In The City,শহরে
Of Time,সময়ের
Nearby,কাছাকাছি
Understood,বোঝা গেল
After That,তারপর
Order,অর্ডার
By Making,তৈরি করে
Will Stay,থাকব
Communication,যোগাযোগ
House,গৃহ
To Show,দেখানো
Madam,ম্যাডাম
I Could,আমি করতে পারে
Show Me,আমাকে দেখাও
Following,অনুসরণ করছে
If You Can,যদি তুমি পার
Known,পরিচিত
Solution,সমাধান
In The Room,রুমে
Turn Around,ঘুরে দাঁড়ান
Sort Of,"প্রকার, রকম"
Hours,ঘন্টার
Loudly,উচ্চরবে
Responsibility,দায়িত্ব
Bored,উদাস
Identity,পরিচয়
Master,ওস্তাদ
The Birth,জন্ম
The Fire,আগুন
Standing,দাঁড়ানো
Son'S,ছেলের
Relationship,সম্পর্ক
Agreed,রাজি
Security,নিরাপত্তা
To Die,মরতে
Direction,অভিমুখ
Of The Night,রাতে
The Peace,শান্তি
Knowing,জানা
I Wanted,আমি চেয়েছি
Stop It,বন্ধ কর
The Agent,প্রতিনিধি
Showing,দেখাচ্ছে
Immediately,অবিলম্বে
Peter,পিটার
Happened,ঘটেছিলো
Of Minutes,অফ মিনিটস
Sleep,ঘুম
Don'T Want,ডোন্ট ওয়ান্ট
The Room,ঘরটি
Have You Seen,তুমি কি দেখেছ
Translated,অনূদিত
To Read,পড়তে
To Drop,ফেলে দেওয়া
Damage,ক্ষতি
The President,সভাপতি
The Tree,গাছটি
Accept,গ্রহণ করুন
To Save,বাঁচাতে
Tough,শক্ত
The Man,মানুষটি
I Saw,আমি দেখেছিলাম
On Earth,পৃথিবীতে
Has Come,এসেছে
Contract,চুক্তি
The Hell,জাহান্নাম
In The Mouth,মুখের ভেতরে
As Long As,যতক্ষন পর্যন্ত না
Complete,সম্পূর্ণ
Rather,বরং
This Is How,এই হল কিভাবে
Will Continue,চলবে
Today'S,আজকের এস
The People,জনগণ
The Price,মূল্য
No One,কেউ না
Careful,সাবধান
The Body,শরীর
Started,শুরু হয়েছে
You See,আপনি দেখুন
Attention,মনোযোগ
School,বিদ্যালয়
In The Car,গাড়িতে
The One,একমাত্র
On The Road,পথে
The Law,আইন
Victim,শিকার
To Them,তাদেরকে
Coffee,কফি
Anger,রাগ
Attack,আক্রমণ
That'S Why,এই জন্য
The Children,শিশুরা
Will See,দেখবো
Officer,অফিসার
Rules,নিয়ম
Do Not,করো না
The Red,লাল
Of The Police,পুলিশের
Those,সেগুলো
The Light,আলো
Wake Up,জাগো
The Owner,মালিক
To Make,তৈরি করতে
Of The Car,গাড়ির
Glance,এক পলক দেখা
Report,রিপোর্ট
In Case,ক্ষেত্রে
To One,একজনের প্রতি
Of War,যুদ্ধ
Completely,সম্পূর্ণরূপে
Because Of,কারণে
By Sending,পাঠিয়ে
The Tea,চা
Prayer,প্রার্থনা
Smile,হাসি
Punishment,শাস্তি
The Creation,সৃষ্টি
Intelligence,বুদ্ধিমত্তা
Looking,খুঁজছি
To The Mother,মায়ের কাছে
Location,অবস্থান
The Hair,চুল
Every,প্রতি
Will Take,গ্রহন করবে
Disclosure,প্রকাশ
Since,থেকে
Nevertheless,তবুও
Subtitle,সাবটাইটেল
You Understand,তুমি বুঝছ
Breath,শ্বাস
The Pain,ব্যথা
Every Day,প্রতিদিন
Frank,ফ্রাঙ্ক
To The Son,পুত্রের কাছে
To Stop,থামতে
Urgent,জরুরী
The Key,চাবি
Understand,বোঝা
I Can'T,আমি পারব না
Little,সামান্য
Which One,কোনটি
Clothes,বস্ত্র
Price,দাম
Choose,পছন্দ করা
Child,শিশু
In Me,আমার মধ্যে
The Bomb,বোমা
Swami,স্বামী
Taking,নিচ্ছেন
Handle,হাতল
Machine,মেশিন
The Train,রেলগাড়ি
Nonsense,আজেবাজে কথা
Forced,জোরপূর্বক
Of Mind,মন থেকে
Of The Country,দেশের
Do You Want,তুমি কি চাও
I Didn'T Say,আমি বলিনি
Will Read,পড়তে হবে
Sherlock,শার্লক
Rescue,উদ্ধার
Continue,চালিয়ে যান
Did Not See,দেখিনি
David,ডেভিড
Added,যোগ করা হয়েছে
The Hero,হিরো
Translation,অনুবাদ
This Too,এটাও
If You Understand,যদি তুমি বোঝ
The Letter,চিঠি
The Enemy,শত্রু
The Smell,গন্ধ
Yessang,ইয়েসাং
Bangla,বাংলা
Business,ব্যবসা
Right There,ঠিক আছে
Reached,পৌঁছেছে
Stick To,স্টিক টু
In The Hospital,হাসপাতালে
You Are Doing,তুমি করছো
The Future,ভবিষ্যৎ
Entry,এন্ট্রি
The Person,ব্যক্তিটি
Come Down,নিচে আসুন
Otherwise,অন্যথায়
Girls,মেয়েরা
The Fisherman,মৎস্যজীবী
Sacred,পবিত্র
The Blue,নীল
Of That,যে
The Bag,থলেটি
I Was Saying,আমি বলছিলাম
In The Office,অফিসে
The Magic,চমক
Normal,স্বাভাবিক
Crime,অপরাধ
Dead Body,লাশ
Of God,ঈশ্বরের
White,সাদা
Extreme,চরম
Mission,মিশন
I Understand,আমি বুঝেছি
Will Eat,খাবো
Of Water,পানির
The Word,শব্দ
To Inform,অবহিত
In The Day,দিনে
Of Marriage,বিবাহের
A Little More,আরো একটু
Million,মিলিয়ন
Lying Down,শায়িত
The Devil,শয়তান
Suddenly,হঠাৎ
The Sound,শব্দটি
Directly,সরাসরি
The Dog,কুকুরটি
Johnny,জনি
You Gave,আপনার দেওয়া
Donkey,গাধা
Thought,চিন্তা
The Touch,স্পর্শ
Keeps,রাখে
Homes,ঘরবাড়ি
The Camera,ক্যামেরা
Terrible,ভয়ানক
To Recognize,চিনতে পারা
The Second,দ্বিতীয়
Cooper,কুপার
The Love,ভালবাসা
Cooking,রান্না
Removed,সরানো হয়েছে
I Will Come,আমি আসবো
Was Not,ছিল না
Finally,অবশেষে
Old Man,বৃদ্ধ লোক
Right Away,এক্ষুনি
Video,ভিডিও
Endure,সহ্য করা
Stress,মানসিক চাপ
Of These,এদের মধ্যে
The Boys,ছেলোগুলো
To Think,চিন্তা করছি
Miles,মাইলস
Dangerous,বিপজ্জনক
Purpose,উদ্দেশ্য
Stone,পাথর
At The Moment,এখন
Excuse Me,মাফ করবেন
The Party,অনুষ্ঠান
That One,ঐটা
To Continue,অবিরত রাখতে
Record,রেকর্ড
Behavior,আচরণ
Request,অনুরোধ
Discount,ছাড়
Others,অন্যান্য
The Fish,মাছ
Yesterday,গতকাল
Sweet,মিষ্টি
Without,ছাড়া
By Showing,দেখিয়ে
Surprised,বিস্মিত
Uncle,চাচা
The Color,রং
In Danger,বিপদে
To Play,খেলতে
Bring,আনুন
Tired,ক্লান্ত
The Son,ছেলেটি
Successful,সফল
The Egg,ডিমটি
The Darkness,অন্ধকার
Bought,কিনলেন
Failed,ব্যর্থ
The Language,ভাষা
I Was Thinking,আমি ভাবছিলাম
Have Read,পড়া হয়েছে
Qualified,যোগ্য
Of Here,এখান থেকে
In Favor Of,পক্ষে
The Boy,ছেলেটি
Only One,কেবল মাত্র একটি
Education,শিক্ষা
I Swear,আমি শপথ করি
Don'T Go,ডোন্ট গো
The Jump,দ্য জাম্প
Think,ভাবুন
Flowers,ফুল
Control,নিয়ন্ত্রণ
Open Up,খোল
Whole Life,পুরো জীবন
Congratulations,অভিনন্দন
Potter,কুমার
On The Ground,মাটিতে
Didn'T Get,পাইনি
Before Too,আগেও
Danger,বিপদ
The Soul,আত্মা
Famous,বিখ্যাত
Enjoyment,ভোগ
Sadness,দুঃখ
Killed,নিহত
Alcohol,মদ
According To,অনুসারে
That Day,ঐ দিন
The Oath,শপথ
That'S When,এটি যখন
The Front,সামনে
Jimmy,জিমি
The Thief,চোরটি
In The Week,সপ্তাহে
Of The Ship,জাহাজের
I Heard,আমি শুনেছি
Memories,স্মৃতি
Healthy,সুস্থ
In Love,প্রণয়াসক্ত
Of The King,রাজার
Situation,অবস্থা
To Run,চালানোর জন্য
Of The Party,পার্টির
Wants To,করতে চায়
One'S,একজনের
Happens,ঘটে
Don'T Do,করবেন না
Did Not Go,যাইনি
To Enter,প্রবেশ করতে
Proof,প্রমাণ
Black,কালো
The Knowledge,জ্ঞান
The Monkey,বানরটি
The Father,বাবা
Investigation,তদন্ত
Of Hours,অফ আওয়ারস
Taken,নেওয়া হয়েছে
Trust,ভরসা
To Sleep,ঘুমাতে
Brought,আনা হয়েছে
Journey,যাত্রা
Pulling,টানা
Victory,বিজয়
Worried,চিন্তিত
Dirty,নোংরা
Of Help,সাহায্যের
Serious,গুরুতর
Guess,অনুমান করুন
Ma'Am,ম্যাম
In War,যুদ্ধে
Place,স্থান
Wife'S,স্ত্রীর
Didn'T Want,চাইনি
The Country,দেশটি
Threat,হুমকি
Emphasis,জোর
Henry,হেনরি
To Escape,পালাতে
Lucky,ভাগ্যবান
Ideas,ধারনা
The Girls,মেয়েরা
All Of Them,তাদের সবাই
Release,মুক্তি
In Words,শব্দসমূহে
Will Want,করতে হবে
To Him,তাকে
Waiting,অপেক্ষা করছে
He Too,সেও
The Heart,হৃদয়
The Matter,ব্যাপার
Are You Gone,আপনি কি যাবেন
The Cold,ঠান্ডা
Same As,একই রকম
To Learn,শিখতে
Building,বিল্ডিং
Equal To,সমান
Birthday,জন্মদিন
To Get Up,ওঠা
Shame,লজ্জা
The Land,জমি
Seven,সাত
Give Up,ছেড়ে দেত্তয়া
Brother'S,ভাই
At The End,শেষে
Forces,বাহিনী
Revenge,প্রতিশোধ
Spread Out,স্প্রেড আউট
We Too,আমরাও
Clothing,পোশাক
In The Country,দেশে
Discussion,আলোচনা
Goods,মাল
If You Know,যদি তুমি জানো
I Will Take,আমি নিবো
Just Now,এক্ষুনি
Complicated,জটিল
Arrested,গ্রেফতার
Come In,ভিতরে আসো
Usage,ব্যবহার
Instructions,নির্দেশনা
Dhetteri,ধেতেরি
Drive On,চালাও
Moreover,তাছাড়া
Charlie,চার্লি
The Rain,বৃষ্টি
The Bill,বিল
The Engine,ইঞ্জিন
Personal,ব্যক্তিগত
Deleted,মুছে ফেলা হয়েছে
Was Happening,ঘটেছিল
By Writing,লিখিত ভাবে
That Too,এটিও
Would Have,যদি থাকত
Captive,বন্দী
Crore,কোটি
Imagination,কল্পনা
The Plane,সমতল
Won'T Go,যাবে না
Will Happen,হবে
The Meat,মাংস
Extremely,চরমভাবে
Company,প্রতিষ্ঠান
Barrier,বাধা
Of School,বিদ্যালয়ের
The Message,বার্তা
The Difference,পার্থক্য
On The Body,শরীরের উপর
Asleep,ঘুমন্ত
The Wind,বায়ু
The Target,লক্ষ্য
Would Go,যেতে হবে
Will Die,মারা যাবো
Search,অনুসন্ধান করুন
Offer,অফার
Do You Get,আপনি কি পেতে
The Park,পার্ক
Safely,নিরাপদে
Increased,বেড়েছে
Throat,গলা
Of The Month,এই মাসের
The Left,বাম
Charles,চার্লস
The Number,সংখ্যা
Let Go,চল যাই
How Long,কতক্ষণ
In The Village,গ্রামে
Is Reading,পড়া হয়
The Bird,পাখি
Achievement,অর্জন
Let It,এটা যাক
Criminal,অপরাধী
Of Blood,রক্তের
Of The Question,প্রশ্নের
The Sun,সূর্য
Full Of,ভর্তি
The Evening,সন্ধ্যা
Of The Body,শরীরের
Admission,ভর্তি
Explanation,ব্যাখ্যা
Baby'S,শিশুর
The Side,পাশ
Three O'Clock,তিনটা বাজে
Fixed,স্থির
On Foot,হেঁটে
Hundred,শত
Warrior,যোদ্ধা
Intelligent,বুদ্ধিমান
The Rat,ইঁদুর
To Be Able To,সামর্থ্য থাকা
Answer,উত্তর
Baler,বেলার
The Grave,কবর
Friend'S,বন্ধুর
Murph,মার্ফ
You Got It,তুমি বুঝতে পেরেছ
Problem,সমস্যা
Signal,সংকেত
Responsible,দায়িত্বশীল
Can You,পারবে তুমি
Will Show,প্রদর্শন করা হবে
Complaint,অভিযোগ
Abominable,জঘন্য
To Send,পাঠাতে
You Think,তুমি ভাবো
Secure,নিরাপদ
In Language,ভাষায়
Shoes,জুতা
To Lose,হারান
The Green,সবুজ
The Office,অফিস
Program,কার্যক্রম
Agree,একমত
The Nose,নাক
This Time,এইবার
Standing Up,দাঁড়ানো
Music,সঙ্গীত
Grandfather,দাদা
Knight,নাইট
Robert,রবার্ট
Clever,চতুর
On The Line,অন ​​দ্য লাইন
Wanted To,চেয়েছিলেন
The Killer,হত্যাকারী
Wayne,ওয়েন
Of The Village,গ্রামের
James,জেমস
Easily,সহজে
The Girl'S,মেয়ের
Promise,প্রতিশ্রুতি
The Meeting,সভা
You Went,তুমি গিয়েছিলে
Holiday,ছুটির দিন
Informed,অবগত
To Live,বাঁচতে
The Risk,ঝুকি
The Name,নাম
Claim,দাবি
Thick,পুরু
John'S,জনস
On The Left,বাম দিকে
A Long Time,অনেক দিন
Of The Company,কোম্পানির
Skilled,দক্ষ
Monster,দানব
In It,এটা
History,ইতিহাস
Dream,স্বপ্ন
Interested,আগ্রহী
Message,বার্তা
Which Are,কোনটি
Sister'S,বোনের
Looking For,খুঁজছি
Injured,আহত
The Ears,কানগুলো
Shalar,শালার
Parents,পিতামাতা
Have Seen,দেখা যায়
Put On,পরে নাও
You Are Gone,আপনি চলে গেছেন
Eight,আট
Dependent,নির্ভরশীল
Possession,দখল
Used To Say,বলতে ব্যবহৃত
I Will See,আমি দেখব
The Boat,নৌকা
To Buy,কেনার জন্য
For The Purpose,উদ্দেশ্য জন্য
I Think,আমি মনে করি
All Day,সারাদিন
To The People,জনগণের প্রতি
Marty,মার্টি
Did Not Say,বলে নাই
Listening,শুনছেন
Trial,বিচার
Brave,সাহসী
Mental,মানসিক
Medicine,ওষুধ
Reading,পড়া
The Window,জানালা
Of The Tree,গাছের
Have You Heard,তুমি কি শুনেছ
The Queen,রানী
Strategy,কৌশল
Suicide,আত্মহত্যা
Speed,গতি
English,ইংরেজি
Possibility,সম্ভাবনা
In The Team,দলে
Of Love,ভালবাসার
Of The Week,সপ্তাহের
Of The House,বাড়ির
Blowing Up,ব্লোয়িং আপ
The Taste,স্বাদ
Called,ডাকল
Drunk,মাতাল
Carrying,বহন
In The Year,এই বছর
Get Off,বন্ধ করুন
For A Few Days,কিছু দিনের জন্য
Face To Face,মুখোমুখি
The Kiss,চুমু
In Turn,ইন টার্ন
American,মার্কিন
To Open,খুলতে
Dinner,রাতের খাবার
Not Happening,ঘটছে না
Infected,সংক্রামিত
Of The Door,দরজার
Of The Road,রাস্তার
The Horse,ঘোড়াটা
Howard,হাওয়ার্ড
Private,ব্যক্তিগত
Around,কাছাকাছি
On The Phone,ফোনে
Seems,মনে হয়
State,অবস্থা
Innocent,নির্দোষ
Soldier,সৈনিক
Unbelievable,অবিশ্বাস্য
Repeatedly,পুনঃপুনঃ
Announcement,ঘোষণা
Ask For,জিজ্ঞাসা করা
Vision,দৃষ্টি
Batter,প্রহার করা
Airplane,বিমান
Every One,সবাই
The Leader,নেতা
Address,ঠিকানা
Advice,উপদেশ
Have Gone,চলে গেছে
German,জার্মান
Bullet,বুলেট
Forest,বন। জংগল
Loves,ভালোবাসে
Take Down,নামিয়ে নিন
William,উইলিয়াম
Another,আরেকটা
The Highest,সর্বোচ্চ
Flight,ফ্লাইট
Even Later,এমনকি পরে
The Robot,রোবটটি
Member,সদস্য
Class,ক্লাস
Extra,অতিরিক্ত
Cigarettes,সিগারেট
One More Time,আরো এক বার
In The Water,পানিতে
Harvey,হার্ভে
In The Ear,কানে
Soon After,এরপর শীঘ্রই
Brand,ব্র্যান্ড
Below,নিচে
Pieces,টুকরা
Secret,গোপন
If You Come,যদি তুমি আসো
Things,জিনিস
The Tv,টিভি
Hungry,ক্ষুধার্ত
Belief,বিশ্বাস
Meeting,মিটিং
The Money,টাকা
Guilty,দোষী
Of Everything,সব কিছুরই
Conversation,কথোপকথন
Praise,প্রশংসা
At Age,বয়সে
If Only,শুধুমাত্র যদি
Stark,ডাহা
The South,দক্ষিণ
To The Family,পরিবারের কাছে
Shows,দেখায়
Fingers,আঙ্গুল
An Accident,একটি দুর্ঘটনা
The Stain,দাগ
Christmas,বড়দিন
Will Understand,বুঝতে পারবে
Human,মানব
Will Rise,জেগে ওঠো
In The Sky,আকাশে
Light,আলো
Were Doing,এরকম হয়
The Hunger,ক্ষুধার্থ
Already,ইতিমধ্যেই
Paper,কাগজ
Or Else,অথবা
Grateful,কৃতজ্ঞ
The Show,প্রদর্শন
Connor,কনর
Drowned,ডুবে গেছে
Of Murder,হত্যার
Effect,প্রভাব
Eclipse,গ্রহন
The Village,গ্রামটি
At The Hotel,হোটেলে
The Soil,মাটি
Traveling,ভ্রমণ
Invisible,অদৃশ্য
Point,বিন্দু
Other'S,অন্যান্য
Existence,অস্তিত্ব
Animals,প্রাণী
In The Body,দেহে
The Past,অতীত
The Rich,ধনী
Polite,ভদ্র
The Commander,আদেশদাতা
Didn'T Come,আসেনি
The Middle,মধ্যে
Valuable,মূল্যবান
The Van,ভ্যান
Scared,ভীত
Computer,কম্পিউটার
This Way,এই পথে
Will Kill,হত্যা করা হবে
Completed,সম্পন্ন
The Poor,দরিদ্র
Canceled,বাতিল
The Curse,অভিশাপ
Explain,ব্যাখ্যা করা
Detective,গোয়েন্দা
Acting,অভিনয়
Look At,তাকানো
Of Thought,চিন্তা - প্রসুত
Woman'S,মহিলার
Of The State,রাষ্ট্রের
Of Two,দুই
The Dragon,ঘুড়ি বিশেষ
Cheat,প্রতারণা
Treatment,চিকিৎসা
On The Train,ট্রেনে
To Write,লিখতে
The Hotel,হোটেল
The Chinese,চীনা
To Return,ফিরে
Collection,সংগ্রহ
To Fly,উড়ে
Colonel,কর্নেল
Quarrel,ঝগড়া
Sherman,শেরম্যান
Of The Event,ইভেন্টের
The Date,তারিখ
Appropriate,যথাযথ
Usually,সাধারণত
On The Right,ডানদিকে
Too Much,অতিরিক্ত
To Sit,বসা
Angry,রাগ
Beyond,তার পরেও
Lieutenant,প্রতিনিধি
Of Heaven,স্বর্গের
Could,পারে
Including,সহ
The Area,ক্ষেত্র
Present,বর্তমান
The Day,দিনটি
Method,পদ্ধতি
In A Dream,স্বপ্নে
Satellite,স্যাটেলাইট
